Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
login,Success,14,5,2023-08-20 16:56:45 +0800,2023-08-20 17:11:19 +0800,0:00:05
exec3,Success,1,0,2023-08-20 17:05:17 +0800,2023-08-20 17:05:17 +0800,0:00:00
exec1,Success,4,0,2023-08-20 17:04:53 +0800,2023-08-20 17:07:14 +0800,0:00:00
